drep_id,name,ref_proposal_vote,target_proposal_vote,status,voting_power_ada
drep1ygptxh0f9ftdr4eg6v6ekacxq9whc9vps2yj047wnt7n5hs2a5u59,Cam Nguyen,Yes,Not Voted,Not Voted on Target,13
drep1y24xr6m4mkgl7e7886sk3wee7h73mcreysyvhrwzksy5ajqrv0rrv,CTEC-Stake-Pool,Yes,No,Changed Vote,20283830
drep1yfr0cur4guksjd6whxe5mltcaksqqhzd85dnq6lfk8ex7qs5mlcye,DeepStatecraft,Yes,Not Voted,Not Voted on Target,36250
drep1yfpazkd0aqex0kd3vrhk47sjy0jqgq3xu6h2zv9wevfequcxyynwv,PRIDE,No,Not Voted,Not Voted on Target,7574349
drep1yfflcrtu3xgeett26gv2l8patjhryjvc5jj0lk4ysy304lsjgfpzj,Hede,Yes,Not Voted,Not Voted on Target,39667
drep1yfemdmjmxr59kecgqnzd8d0ankkue4rdnn35c8qfsuljt9cjree5m,PoolTool,No,No,Same Vote,42413296
drep1ytgsdkfznvjnwdxrzvf8x6tn4ctfukqqphsammzkfwatgsqgnpf2w,Latam Cardano,Yes,Yes,Same Vote,822819
drep1yfa8r8r36x7x05htftce7qhafrn5nzzr6vazy95pzy6y5dqac0ss7,wolf31o2 (Chris Gianelloni),Yes,No,Changed Vote,23279040
drep1yfcgvh8rum7a9ma4gwgwuwutdu0dnrzaj98jytwyfqzd87q2nehvm,Reshma_Mohan,Yes,Not Voted,Not Voted on Target,372173
drep1y2jnqfamg4tq5aepxhggzhqg7pq5gunph4wypkyh9q3qt2cru5m2j,Wada DRep,Yes,Yes,Same Vote,12158994
drep1ygs99wsy49h9vydggncfeck2xwmngyeltp66pvgzl6jz63s6qmu3p,DraculaDAO,Yes,Not Voted,Not Voted on Target,16377017
drep1y2vyrqh0fa4qh4tmy7322va6ryk78uh6szppezaft0watyqp5hdwx,BTBF_XSP,Yes,Not Voted,Not Voted on Target,89273416
drep1yguh6dsgx0g58v8pqmxgfrkq0x8vfv6tcp92uzzjrykwy8cjmelsy,Florian Volery,No,Not Voted,Not Voted on Target,26127604
drep1ygeqtuysjy9s3mw3ej7essghq9rk3cnl08fehntu4jw3rtqfw96dg,FIMI,Yes,Not Voted,Not Voted on Target,30964278
drep1y22hlaj8wuyygpnjy5cf96tg9tgvjrz39kxvqgv898uj9scfc55t7,Maureen,Yes,Not Voted,Not Voted on Target,500697
drep1yt37s3z3ddzmzug9mujxy5c0patgetmjv6fhf3he4nmnv2ga3nad2,,Yes,Not Voted,Not Voted on Target,8088045
drep1yt56tpzpzu58zy7pz4zwfp32rq95tj3xfxmdrg8k3qhxjlccp47cn,Manuel SNAKE,Yes,Not Voted,Not Voted on Target,764013
drep1yftjewhpvtdd8t7swtmtp44px94ns3laytmjc3u7f93qvhswmwv5f,Cardano Feed,Yes,Not Voted,Not Voted on Target,728270
